Posição;Código IBGE;Município;Unidade federativa;População
1º;3550308;São Paulo; São Paulo;12 325 232
2º;3304557;Rio de Janeiro; Rio de Janeiro;6 747 815
3º;5300108;Brasília; Distrito Federal;3 055 149
4º;2927408;Salvador; Bahia;2 886 698
5º;2304400;Fortaleza; Ceará;2 686 612
6º;3106200;Belo Horizonte; Minas Gerais;2 521 564
7º;1302603;Manaus; Amazonas;2 219 580
8º;4106902;Curitiba; Paraná;1 948 626
9º;2611606;Recife; Pernambuco;1 653 461
10º;5208707;Goiânia; Goiás;1 536 097
11º;1501402;Belém; Pará;1 499 641
12º;4314902;Porto Alegre; Rio Grande do Sul;1 488 252
13º;3518800;Guarulhos; São Paulo;1 392 121
14º;3509502;Campinas; São Paulo;1 213 792
15º;2111300;São Luís; Maranhão;1 108 975
16º;3304904;São Gonçalo; Rio de Janeiro;1 091 737
17º;2704302;Maceió; Alagoas;1 025 360
18º;3301702;Duque de Caxias; Rio de Janeiro;924 624
19º;5002704;Campo Grande; Mato Grosso do Sul;906 092
20º;2408102;Natal; Rio Grande do Norte;890 480
21º;2211001;Teresina; Piauí;868 075
22º;3548708;São Bernardo do Campo; São Paulo;844 483
23º;3303500;Nova Iguaçu; Rio de Janeiro;823 302
24º;2507507;João Pessoa; Paraíba;817 511
25º;3549904;São José dos Campos; São Paulo;729 737
26º;3547809;Santo André; São Paulo;721 368
27º;3543402;Ribeirão Preto; São Paulo;711 825
28º;2607901;Jaboatão dos Guararapes; Pernambuco;706 867
29º;3534401;Osasco; São Paulo;699 944
30º;3170206;Uberlândia; Minas Gerais;699 097
31º;3552205;Sorocaba; São Paulo;687 357
32º;3118601;Contagem; Minas Gerais;668 949
33º;2800308;Aracaju; Sergipe;664 908
34º;2910800;Feira de Santana; Bahia;619 609
35º;5103403;Cuiabá; Mato Grosso;618 124
36º;4209102;Joinville; Santa Catarina;597 658
37º;5201405;Aparecida de Goiânia; Goiás;590 146
38º;4113700;Londrina; Paraná;575 377
39º;3136702;Juiz de Fora; Minas Gerais;573 285
40º;1100205;Porto Velho; Rondônia;539 354
41º;1500800;Ananindeua; Pará;535 547
42º;3205002;Serra; Espírito Santo;527 240
43º;4305108;Caxias do Sul; Rio Grande do Sul;517 451
44º;3303302;Niterói; Rio de Janeiro;515 317
45º;3300456;Belford Roxo; Rio de Janeiro;513 118
46º;1600303;Macapá; Amapá;512 902
47º;3301009;Campos dos Goytacazes; Rio de Janeiro;511 168
48º;4205407;Florianópolis; Santa Catarina;508 826
49º;3205200;Vila Velha; Espírito Santo;501 325
50º;3529401;Mauá; São Paulo;477 552
51º;3305109;São João de Meriti; Rio de Janeiro;472 906
52º;3549805;São José do Rio Preto; São Paulo;464 983
53º;3530607;Mogi das Cruzes; São Paulo;450 785
54º;3106705;Betim; Minas Gerais;444 784
55º;3548500;Santos; São Paulo;433 656
56º;4115200;Maringá; Paraná;430 157
57º;3513801;Diadema; São Paulo;426 757
58º;3525904;Jundiaí; São Paulo;423 006
59º;1400100;Boa Vista; Roraima;419 652
60º;3143302;Montes Claros; Minas Gerais;413 487
61º;1200401;Rio Branco; Acre;413 418
62º;2504009;Campina Grande; Paraíba;411 807
63º;3538709;Piracicaba; São Paulo;407 252
64º;3510609;Carapicuíba; São Paulo;403 183
65º;2609600;Olinda; Pernambuco;393 115
66º;5201108;Anápolis; Goiás;391 772
67º;3201308;Cariacica; Espírito Santo;383 917
68º;3506003;Bauru; São Paulo;379 297
69º;3523107;Itaquaquecetuba; São Paulo;375 011
70º;3551009;São Vicente; São Paulo;368 355
71º;3205309;Vitória; Espírito Santo;365 855
72º;2604106;Caruaru; Pernambuco;365 278
73º;2303709;Caucaia; Ceará;365 212
74º;4202404;Blumenau; Santa Catarina;361 855
75º;3516200;Franca; São Paulo;355 901
76º;4119905;Ponta Grossa; Paraná;355 336
77º;2611101;Petrolina; Pernambuco;354 317
78º;4304606;Canoas; Rio Grande do Sul;348 208
79º;4314407;Pelotas; Rio Grande do Sul;343 132
80º;2933307;Vitória da Conquista; Bahia;341 128
81º;3154606;Ribeirão das Neves; Minas Gerais;338 197
82º;3170107;Uberaba; Minas Gerais;337 092
